1,1,6,0,-90,0
1,1,6,20,-85,0
1,1,6,40,-80,0
1,1,7,0,-75,0
1,1,7,20,-70,0
1,1,7,40,-65,0
1,1,8,0,-60,0
1,1,8,20,-55,0
1,1,8,40,-50,0
1,1,9,0,-45,0
1,1,9,20,-40,0
1,1,9,40,-35,0
1,1,10,0,-30,0
1,1,10,20,-25,0
1,1,10,40,-20,0
1,1,11,0,-15,0
1,1,11,20,-10,0
1,1,11,40,-5,0
1,1,12,0,0,0
1,1,12,20,5,0
1,1,12,40,10,0
1,1,13,0,15,0
1,1,13,20,20,0
1,1,13,40,25,0
1,1,14,0,30,0
1,1,14,20,35,0
1,1,14,40,40,0
1,1,15,0,45,0
1,1,15,20,50,0
1,1,15,40,55,0
1,1,16,0,60,0
1,1,16,20,65,0
1,1,16,40,70,0
1,1,17,0,75,0
1,1,17,20,80,0
1,1,17,40,85,0
1,1,18,0,90,0
1,2,6,0,-90,0
1,2,6,20,-85,0
1,2,6,40,-80,0
1,2,7,0,-75,0
1,2,7,20,-70,0
1,2,7,40,-65,0
1,2,8,0,-60,0
1,2,8,20,-55,0
1,2,8,40,-50,0
1,2,9,0,-45,0
1,2,9,20,-40,0
1,2,9,40,-35,0
1,2,10,0,-30,0
1,2,10,20,-25,0
1,2,10,40,-20,0
1,2,11,0,-15,0
1,2,11,20,-10,0
1,2,11,40,-5,0
1,2,12,0,0,0
1,2,12,20,5,0
1,2,12,40,10,0
1,2,13,0,15,0
1,2,13,20,20,0
1,2,13,40,25,0
1,2,14,0,30,0
1,2,14,20,35,0
1,2,14,40,40,0
1,2,15,0,45,0
1,2,15,20,50,0
1,2,15,40,55,0
1,2,16,0,60,0
1,2,16,20,65,0
1,2,16,40,70,0
1,2,17,0,75,0
1,2,17,20,80,0
1,2,17,40,85,0
1,2,18,0,90,0
1,3,6,0,-90,0
1,3,6,20,-85,0
1,3,6,40,-80,0
1,3,7,0,-75,0
1,3,7,20,-70,0
1,3,7,40,-65,0
1,3,8,0,-60,0
1,3,8,20,-55,0
1,3,8,40,-50,0
1,3,9,0,-45,0
1,3,9,20,-40,0
1,3,9,40,-35,0
1,3,10,0,-30,0
